close,high,low,open,volume,Name,date
^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,
5993.25,6006.0498046875,5982.0,5982.60009765625,0,NIFTY,2013-01-02
6009.5,6017.0,5986.5498046875,6015.7998046875,0,NIFTY,2013-01-03
6016.14990234375,6020.75,5981.5498046875,6011.9501953125,0,NIFTY,2013-01-04
5988.39990234375,6042.14990234375,5977.14990234375,6042.14990234375,0,NIFTY,2013-01-07
6001.7001953125,6007.0498046875,5964.39990234375,5983.4501953125,0,NIFTY,2013-01-08
5971.5,6020.10009765625,5958.4501953125,6006.2001953125,0,NIFTY,2013-01-09
5968.64990234375,6005.14990234375,5947.2998046875,5998.7998046875,0,NIFTY,2013-01-10
5951.2998046875,6018.85009765625,5940.60009765625,6012.39990234375,0,NIFTY,2013-01-11
6024.0498046875,6036.89990234375,5962.14990234375,5967.2001953125,0,NIFTY,2013-01-14
6056.60009765625,6068.5,6018.60009765625,6037.85009765625,0,NIFTY,2013-01-15
6001.85009765625,6055.9501953125,5992.0498046875,6049.0,0,NIFTY,2013-01-16
6039.2001953125,6053.2001953125,5988.10009765625,6001.25,0,NIFTY,2013-01-17
6064.39990234375,6083.39990234375,6048.2998046875,6059.85009765625,0,NIFTY,2013-01-18
6082.2998046875,6094.35009765625,6065.10009765625,6085.75,130900,NIFTY,2013-01-21
6048.5,6101.2998046875,6040.5,6080.14990234375,129000,NIFTY,2013-01-22
6054.2998046875,6069.7998046875,6021.14990234375,6052.85009765625,137000,NIFTY,2013-01-23
6019.35009765625,6065.2998046875,6007.85009765625,6046.2001953125,185200,NIFTY,2013-01-24
6074.64990234375,6080.5498046875,6014.4501953125,6024.5,147600,NIFTY,2013-01-25
6074.7998046875,6088.39990234375,6061.39990234375,6082.10009765625,113100,NIFTY,2013-01-28
6049.89990234375,6111.7998046875,6042.4501953125,6064.7001953125,157600,NIFTY,2013-01-29
6055.75,6071.9501953125,6044.14990234375,6065.0,124200,NIFTY,2013-01-30
